,Port A,Port B,Packets,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
count,3213.0,3213.0,3213.0,3213.0,3213.0,3213.0,3213.0,3213.0,3213.0,3213.0,3213.0,3001.0,3001.0
mean,30128.720510426392,7149.356053532524,207.78182384064738,1767369.5546218487,1834.9660753190165,103.18518518518519,19971.629318394025,104.59663865546219,1747397.9253034547,23.99065989573607,33.19989335294118,62790.74341886038,10497065.978007331
std,20636.172395783844,15646.305496489811,565.4306126544676,3192334.846276916,1043.8389343327033,179.72401598679173,83819.59691381425,400.9377858324784,3186690.335500689,23.60327525952336,30.495800022498212,152666.8415180727,35794295.862078294
min,22.0,22.0,2.0,120.0,0.0,1.0,66.0,0.0,0.0,0.0,7e-06,35.0,0.0
25%,12684.0,443.0,6.0,427.0,940.0,3.0,229.0,4.0,295.0,3.195319,0.209581,1298.0,4992.0
50%,30132.0,443.0,147.0,259443.0,1829.0,74.0,7921.0,66.0,128845.0,17.260699,29.963688,3980.0,159908.0
75%,47754.0,443.0,284.0,2457952.0,2730.0,144.0,17013.0,140.0,2443966.0,37.241795,60.521678,48764.0,929938.0
max,65494.0,65446.0,24218.0,96913837.0,3659.0,6269.0,4318425.0,17949.0,96490445.0,83.056104,83.049167,1950663.0,446868092.0
