,Column,Mean,Median,Std,Min,Max,Variance,Skewness,Kurtosis
0,Packets A → B,103.18518518518519,74.0,179.72401598679173,1.0,6269.0,32300.721922420566,17.364002242673017,528.3540607530781
1,Bytes A → B,19971.629318394025,7921.0,83819.59691381425,66.0,4318425.0,7025724826.7943,42.31452611427219,2155.031963885887
2,Packets B → A,104.59663865546219,66.0,400.9377858324784,0.0,17949.0,160751.10810825034,36.449403506227405,1494.3379028958277
3,Bytes B → A,1747397.9253034547,128845.0,3186690.335500689,0.0,96490445.0,10154995294373.494,11.139079712796152,275.9333094085547
4,Rel Start,23.99065989573607,17.260699,23.60327525952336,0.0,83.056104,557.1146029768275,0.9427568795602634,-0.24686553567244474
5,Duration,33.19989335294118,29.963688,30.495800022498212,7e-06,83.049167,929.9938190122019,0.35069426615650345,-1.334722958811598
